Rat;Gender;Baseline_S1_Males;PPP_S1_Males;PPP_S2_Males;PPP_S3_Males;av_PPP_Males
1;Males;75;15;5;10;10
2;Males;60;35;45;60;46.7
3;Males;50;45;40;40;41.7
4;Males;55;10;15;15;13.3
5;Males;100;80;63.2;60;67.7
6;Males;65;55;73.7;75;67.9
7;Males;60;60;55;40;51.7
8;Males;75;35;25;5;21.7
9;Males;100;85;85;85;85
10;Males;85;75;85;75;78.3
11;Males;95;100;100;100;100
12;Males;55;40;45;10;31.7
13;Females;100;85;85;65;78.3
14;Females;60;28.6;6.3;0;11.6
15;Females;60;65;45;75;61.7
16;Females;100;95;100;100;98.3
17;Females;80;70;80;45;65
18;Females;100;100;100;95;98.3
19;Females;65;15;35;20;23.3
20;Females;90;65;80;100;81.7
21;Females;60;0;0;31.6;10.5
22;Females;85;40;35;30;35
23;Females;85;95;100;;97.5
24;Females;70;45;70;65;60
